source_id,source_file,source_report,geometry_source,source_x_m,source_y_m,conversion_crs,conversion_status,longitude,latitude
metallic_e00_lab_091,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,-8819.965,14758.051,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-67.08334352,18.13332748
metallic_e00_lab_092,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,46.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99956565,18.0
metallic_e00_lab_093,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,91299.016,9589.344,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.13751231,18.08471679
metallic_e00_lab_094,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,47.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99955621,18.0
metallic_e00_lab_095,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,63349.211,32753.254,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.40083318,18.29499816
metallic_e00_lab_096,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,48.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99954677,18.0
metallic_e00_lab_097,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,63621.992,30263.863,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.39833076,18.27249906
metallic_e00_lab_098,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,49.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99953733,18.0
metallic_e00_lab_099,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,63449.758,29156.223,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.39999394,18.26249692
metallic_e00_lab_100,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,50.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99952789,18.0
metallic_e00_lab_101,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,71026.438,37268.313,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.32806401,18.33554834
metallic_e00_lab_102,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,51.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99951844,18.0
metallic_e00_lab_103,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,70879.766,37236.953,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.32945266,18.3352699
metallic_e00_lab_104,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,52.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.999509,18.0
metallic_e00_lab_105,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,73560.203,35617.602,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.30415353,18.32054899
metallic_e00_lab_106,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,53.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99949956,18.0
metallic_e00_lab_107,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,71218.484,32872.734,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.32640083,18.29582973
