municipality,source_state,series_document_class,operational_document_class,fallback_relationship,filename,byte_size,sha256,acquisition_status
Toa Alta,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,ToaAlta_sectores_inundables.pdf,9728866,8b0213cd9a8aeb08fd363b9585761da5a43acaf5896c2ca754df689e8f392cfd,downloaded
Toa Baja,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,ToaBaja_sectores_inundables.pdf,17702949,e072fdff62e840ca7b646ad0ee79c086f68333267709fce52985d8c618134757,downloaded
Trujillo Alto,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,TrujilloAlto_sectores_inundables.pdf,15458069,fc7b50d9f5a51fb8b3d0de3ab06e9d93b3e4d0674f620636481cba49b5464673,downloaded
Utuado,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Utuado_sectores_inundables.pdf,17872127,96621bcb5044e8d7267ed780d7475617d3d02b84791a3ad96c3bfed4f590ec0a,downloaded
Vega Alta,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,VegaAlta_sectores_inundables.pdf,4733415,a7a1d9e4208542be2e44b63ad9d1dd5a8cc641e49e3912a60c8b9b321742ae1f,downloaded
Vega Baja,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,VegaBaja_sectores_inundables.pdf,8086246,a0d7d2de1e8c63d9585e5f42d803722d2384efb653908549b6d972a9f2dac41d,downloaded
Vieques,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Vieques_sectores_inundables.pdf,4044081,b5f7d3aaeb8c5d133d2705083fc8b8dc2ffd79ef30211f74d47547ffca749596,downloaded
Villalba,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Villalba_sectores_inundables.pdf,2144767,098bb311357d9e97c0eb3d7efe4466d7509e1944a116c608b35586b18207acb5,downloaded
Yabucoa,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Yabucoa_sectores_inundables.pdf,6565835,f980258479f5f8c5eddae9234ff6ee2ba1aa1ee0024cc1843d443e380fa38ccb,downloaded
Yauco,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Yauco_sectores_inundables.pdf,14896024,510a7d6a1844268e128ac883e296cb4194cd3c8b5d7c42f9274865658e2ab87e,downloaded
